## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1946e-01  -2.1287e+00   1.5533e-03   3.7587e-06   3.9320e-07   1.3334e-07   3.7154e-07   3.7154e-07   2.4211e+07   2.4211e+07
  1.5991e-01   1.6318e-01  -1.8169e+00   1.5436e-03  -2.4445e-06   4.3528e-07   4.6182e-07   2.7053e-07   2.7053e-07   4.5665e+07   4.5665e+07
  2.1867e-01   2.2302e-01  -1.5045e+00   1.5409e-03   1.1179e-06   1.0637e-06  -1.6527e-06   1.9862e-07   1.9862e-07   8.4714e+07   8.4714e+07
  2.9903e-01   3.0501e-01  -1.1913e+00   1.5367e-03  -9.6367e-08   1.3168e-06  -1.3148e-06   1.4603e-07   1.4603e-07   1.5672e+08   1.5672e+08
  4.0891e-01   4.1709e-01  -8.7836e-01   1.5355e-03   9.2847e-07   1.4398e-06   7.8083e-07   1.0729e-07   1.0729e-07   2.9033e+08   2.9033e+08
  5.5917e-01   5.7033e-01  -5.6538e-01   1.5287e-03  -4.7096e-07   1.5831e-06   5.4161e-07   7.8878e-08   7.8878e-08   5.3716e+08   5.3716e+08
  7.6465e-01   7.7980e-01  -2.5250e-01   1.5209e-03   2.2096e-07   1.7787e-06   1.5497e-07   5.8039e-08   5.8039e-08   9.9214e+08   9.9214e+08
  1.0456e+00   1.0662e+00   6.0391e-02   1.5099e-03  -6.5316e-07   1.7997e-06   1.2015e-06   4.2785e-08   4.2785e-08   1.8257e+09   1.8257e+09
  1.4299e+00   1.4580e+00   3.7334e-01   1.4986e-03  -1.6176e-06   1.2342e-06   2.7110e-06   3.1571e-08   3.1571e-08   3.3531e+09   3.3531e+09
  1.9553e+00   1.9938e+00   6.8632e-01   1.4867e-03  -1.8473e-06   6.4570e-07   3.0688e-06   2.3290e-08   2.3290e-08   6.1615e+09   6.1615e+09
  2.6738e+00   2.7265e+00   9.9930e-01   1.4735e-03  -1.8751e-06   2.9777e-07   4.2069e-06   1.7177e-08   1.7177e-08   1.1327e+10   1.1327e+10
  3.6564e+00   3.7283e+00   1.3122e+00   1.4541e-03  -1.4634e-06  -2.1813e-08   3.9587e-06   1.2669e-08   1.2669e-08   2.0821e+10   2.0821e+10
  5.0000e+00   5.0981e+00   1.6251e+00   1.4288e-03  -6.8705e-07  -7.4344e-07   3.9132e-06   9.3546e-09   9.3546e-09   3.8191e+10   3.8191e+10
  6.8373e+00   6.9709e+00   1.9380e+00   1.3956e-03   9.9775e-07  -1.4973e-06   3.1112e-06   6.9148e-09   6.9148e-09   6.9898e+10   6.9898e+10
  9.3499e+00   9.5398e+00   2.2518e+00   1.3627e-03   1.8903e-06  -1.8721e-06   4.5546e-06   5.0833e-09   5.0833e-09   1.2934e+11   1.2934e+11
  1.2786e+01   1.3030e+01   2.5635e+00   1.3150e-03   6.0570e-06  -1.6317e-06  -1.6031e-06   3.7620e-09   3.7620e-09   2.3614e+11   2.3614e+11
  1.7484e+01   1.7823e+01   2.8767e+00   1.2386e-03   8.8807e-06  -1.9203e-06   9.6942e-07   2.8068e-09   2.8068e-09   4.2421e+11   4.2421e+11
  2.3909e+01   2.4347e+01   3.1886e+00   1.1436e-03   1.6395e-05  -5.3412e-06   6.0955e-07   2.1038e-09   2.1038e-09   7.5511e+11   7.5511e+11
  3.2695e+01   3.3278e+01   3.5011e+00   1.0324e-03   2.7789e-05  -8.4157e-06   1.5420e-06   1.5939e-09   1.5939e-09   1.3155e+12   1.3155e+12
  4.4709e+01   4.5462e+01   3.8131e+00   9.2225e-04   4.1881e-05  -1.0768e-05   4.8249e-06   1.2295e-09   1.2295e-09   2.2109e+12   2.2109e+12
  6.1138e+01   6.2069e+01   4.1245e+00   8.2777e-04   5.5819e-05  -2.0713e-05   3.4248e-06   9.7519e-10   9.7519e-10   3.5143e+12   3.5143e+12
  8.3604e+01   8.4705e+01   4.4353e+00   8.1680e-04   9.1405e-05  -2.0062e-05  -1.1738e-05   8.0108e-10   8.0108e-10   5.2079e+12   5.2079e+12
  1.1433e+02   1.1608e+02   4.7504e+00   7.5045e-04   4.8232e-05   5.1437e-06  -2.3993e-06   6.6491e-10   6.6491e-10   7.5594e+12   7.5594e+12
  1.5634e+02   1.5915e+02   5.0660e+00   5.6536e-04   2.5741e-05  -1.6162e-06   9.9348e-06   5.1417e-10   5.1417e-10   1.2641e+13   1.2641e+13
  2.1379e+02   2.1742e+02   5.3780e+00   5.2283e-04   3.3389e-05  -4.5001e-05   7.8851e-06   3.9718e-10   3.9718e-10   2.1185e+13   2.1185e+13
