## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   7.0401e-06   5.4336e-07  -3.1690e-07   3.1014e-07   1.8778e-07   1.8778e-07   7.4273e+07   7.4273e+07
  1.5991e-01   1.6315e-01  -1.8170e+00   5.8943e-06   5.4608e-07  -2.7217e-09   2.3897e-07   1.3763e-07   1.3763e-07   1.3826e+08   1.3826e+08
  2.1867e-01   2.2306e-01  -1.5043e+00   5.5143e-06   1.6631e-07   1.4236e-07   7.9263e-09   1.0127e-07   1.0127e-07   2.5536e+08   2.5536e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   5.0030e-06   6.3478e-08   5.9420e-09  -6.2256e-08   7.4376e-08   7.4376e-08   4.7347e+08   4.7347e+08
  4.0891e-01   4.1715e-01  -8.7817e-01   4.9791e-06   1.6055e-07   8.4595e-08   5.3675e-08   5.4559e-08   5.4559e-08   8.7987e+08   8.7987e+08
  5.5917e-01   5.7037e-01  -5.6527e-01   4.5420e-06   2.6583e-09  -4.5285e-08   4.2846e-08   4.0012e-08   4.0012e-08   1.6359e+09   1.6359e+09
  7.6465e-01   7.7990e-01  -2.5234e-01   4.1444e-06   5.0666e-08  -7.0440e-08   5.7773e-08   2.9374e-08   2.9374e-08   3.0354e+09   3.0354e+09
  1.0456e+00   1.0664e+00   6.0588e-02   3.7044e-06   4.9001e-09  -2.0573e-08  -5.6553e-08   2.1570e-08   2.1570e-08   5.6291e+09   5.6291e+09
  1.4299e+00   1.4583e+00   3.7353e-01   3.2604e-06   5.8421e-08  -6.3660e-08  -1.6222e-08   1.5855e-08   1.5855e-08   1.0418e+10   1.0418e+10
  1.9553e+00   1.9941e+00   6.8647e-01   2.6725e-06   1.6893e-08  -1.0125e-07   4.2173e-08   1.1662e-08   1.1662e-08   1.9259e+10   1.9259e+10
  2.6738e+00   2.7269e+00   9.9944e-01   2.0732e-06   5.1271e-08  -5.7459e-08   1.4826e-08   8.5765e-09   8.5765e-09   3.5607e+10   3.5607e+10
  3.6564e+00   3.7288e+00   1.3124e+00   1.4965e-06   6.9267e-08  -4.7964e-08  -8.4470e-09   6.3089e-09   6.3089e-09   6.5802e+10   6.5802e+10
  5.0000e+00   5.0987e+00   1.6253e+00   1.1211e-06   1.1793e-07  -2.0100e-08  -4.2608e-09   4.6468e-09   4.6468e-09   1.2130e+11   1.2130e+11
  6.8373e+00   6.9717e+00   1.9381e+00   1.0228e-06   9.0088e-08   5.3179e-09   7.0648e-09   3.4276e-09   3.4276e-09   2.2294e+11   2.2294e+11
  9.3499e+00   9.5367e+00   2.2514e+00   1.0442e-06   3.7521e-08   2.5791e-09  -3.5996e-09   2.5232e-09   2.5232e-09   4.1140e+11   4.1140e+11
  1.2786e+01   1.3031e+01   2.5636e+00   9.4567e-07   9.1104e-10  -4.3278e-09  -1.0927e-08   1.8686e-09   1.8686e-09   7.5013e+11   7.5013e+11
  1.7484e+01   1.7819e+01   2.8765e+00   7.4867e-07   4.0517e-09  -3.7071e-09  -8.6883e-09   1.3950e-09   1.3950e-09   1.3458e+12   1.3458e+12
  2.3909e+01   2.4346e+01   3.1886e+00   5.8501e-07  -2.0800e-09   1.3828e-09   2.5877e-09   1.0485e-09   1.0485e-09   2.3822e+12   2.3822e+12
  3.2695e+01   3.3269e+01   3.5009e+00   4.4824e-07  -6.3844e-09   1.5976e-08   6.6022e-10   7.9852e-10   7.9852e-10   4.1075e+12   4.1075e+12
  4.4709e+01   4.5439e+01   3.8126e+00   3.4240e-07  -4.5335e-09   3.4518e-08   7.8355e-09   6.2106e-10   6.2106e-10   6.7902e+12   6.7902e+12
  6.1138e+01   6.2028e+01   4.1238e+00   3.0619e-07   1.0136e-08   3.3672e-08   2.7201e-08   4.9800e-10   4.9800e-10   1.0561e+13   1.0561e+13
  8.3604e+01   8.4645e+01   4.4346e+00   3.3064e-07   4.6052e-09  -1.8412e-08   4.5847e-08   4.1512e-10   4.1512e-10   1.5198e+13   1.5198e+13
  1.1433e+02   1.1621e+02   4.7516e+00   3.2845e-07  -2.7433e-09  -1.1192e-08   7.2708e-09   3.4437e-10   3.4437e-10   2.2085e+13   2.2085e+13
  1.5634e+02   1.5882e+02   5.0640e+00   2.3115e-07  -1.5932e-09   4.9422e-09  -9.2513e-09   2.6774e-10   2.6774e-10   3.6536e+13   3.6536e+13
  2.1379e+02   2.1684e+02   5.3753e+00   2.6433e-07   1.1978e-08   4.8500e-08   1.2103e-08   2.1928e-10   2.1928e-10   5.4470e+13   5.4470e+13
