## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   5.5190e-04  -8.5521e-07   9.8218e-08  -1.3101e-06   2.1887e-07   2.1887e-07   3.7298e+07   3.7298e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   5.4922e-04   1.7651e-07  -4.0671e-07   1.3579e-07   1.6020e-07   1.6020e-07   6.9619e+07   6.9619e+07
  2.1867e-01   2.2309e-01  -1.5041e+00   5.4888e-04  -6.4038e-07  -2.1783e-07  -3.1852e-08   1.1757e-07   1.1757e-07   1.2927e+08   1.2927e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   5.4767e-04   2.8577e-07  -7.3456e-08  -5.5562e-07   8.6369e-08   8.6369e-08   2.3953e+08   2.3953e+08
  4.0891e-01   4.1714e-01  -8.7821e-01   5.4696e-04   2.3296e-07   6.1096e-08   2.8617e-07   6.3380e-08   6.3380e-08   4.4481e+08   4.4481e+08
  5.5917e-01   5.7040e-01  -5.6525e-01   5.4484e-04   1.2728e-07   3.6335e-08  -2.6843e-07   4.6491e-08   4.6491e-08   8.2668e+08   8.2668e+08
  7.6465e-01   7.7990e-01  -2.5236e-01   5.4246e-04   1.0872e-07   1.1185e-07  -1.5714e-07   3.4155e-08   3.4155e-08   1.5317e+09   1.5317e+09
  1.0456e+00   1.0664e+00   6.0529e-02   5.3893e-04   2.0729e-07   1.7995e-07  -4.3093e-07   2.5109e-08   2.5109e-08   2.8341e+09   2.8341e+09
  1.4299e+00   1.4581e+00   3.7340e-01   5.3548e-04   4.0054e-07   3.5386e-07  -5.2749e-07   1.8498e-08   1.8498e-08   5.2220e+09   5.2220e+09
  1.9553e+00   1.9938e+00   6.8632e-01   5.3163e-04   7.2041e-07   6.5962e-07  -5.3543e-07   1.3639e-08   1.3639e-08   9.6047e+09   9.6047e+09
  2.6738e+00   2.7266e+00   9.9934e-01   5.2546e-04   7.7673e-07   1.1935e-06  -5.6496e-07   1.0055e-08   1.0055e-08   1.7673e+10   1.7673e+10
  3.6564e+00   3.7283e+00   1.3122e+00   5.1556e-04   9.3158e-07   1.8192e-06  -6.7432e-07   7.4110e-09   7.4110e-09   3.2533e+10   3.2533e+10
  5.0000e+00   5.0980e+00   1.6251e+00   5.0083e-04   9.3668e-07   2.4690e-06  -6.2922e-07   5.4733e-09   5.4733e-09   5.9644e+10   5.9644e+10
  6.8373e+00   6.9706e+00   1.9380e+00   4.8105e-04   6.8668e-07   2.7942e-06  -7.2408e-07   4.0481e-09   4.0481e-09   1.0904e+11   1.0904e+11
  9.3499e+00   9.5373e+00   2.2515e+00   4.5597e-04   7.4335e-07   2.6089e-06  -9.4658e-07   2.9825e-09   2.9825e-09   2.0087e+11   2.0087e+11
  1.2786e+01   1.3028e+01   2.5633e+00   4.2317e-04   2.3942e-07   2.2295e-06   3.2082e-07   2.2145e-09   2.2145e-09   3.6436e+11   3.6436e+11
  1.7484e+01   1.7817e+01   2.8764e+00   3.7442e-04   2.4448e-06   2.1297e-06   8.4530e-07   1.6606e-09   1.6606e-09   6.4794e+11   6.4794e+11
  2.3909e+01   2.4338e+01   3.1883e+00   3.0907e-04   1.6265e-06   1.3027e-06   1.0374e-06   1.2528e-09   1.2528e-09   1.1385e+12   1.1385e+12
  3.2695e+01   3.3259e+01   3.5006e+00   2.3883e-04   1.0899e-06   2.1555e-06   1.7499e-06   9.5821e-10   9.5821e-10   1.9460e+12   1.9460e+12
  4.4709e+01   4.5424e+01   3.8123e+00   1.8568e-04  -2.6535e-06   5.3794e-06   2.2203e-06   7.4936e-10   7.4936e-10   3.1819e+12   3.1819e+12
  6.1138e+01   6.2004e+01   4.1234e+00   1.6946e-04  -1.2900e-05   8.9265e-06   4.7653e-06   6.0536e-10   6.0536e-10   4.8757e+12   4.8757e+12
  8.3604e+01   8.4657e+01   4.4348e+00   1.5639e-04  -1.9263e-05  -2.6437e-06   1.2590e-05   5.0624e-10   5.0624e-10   6.9720e+12   6.9720e+12
  1.1433e+02   1.1649e+02   4.7540e+00   9.7295e-05   1.2466e-06   8.2523e-06  -2.8288e-06   4.1033e-10   4.1033e-10   1.0612e+13   1.0612e+13
  1.5634e+02   1.5884e+02   5.0641e+00   5.4869e-05   3.9301e-06  -2.0339e-06  -1.6600e-06   3.1054e-10   3.1054e-10   1.8529e+13   1.8529e+13
  2.1379e+02   2.1692e+02   5.3756e+00   5.7533e-05  -2.3938e-06  -2.0014e-06  -2.9947e-06   2.5559e-10   2.5559e-10   2.7351e+13   2.7351e+13
