## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1932e-01  -2.1297e+00  -1.6557e-04   4.8080e-06   4.8446e-05   2.7467e-05   8.5608e-08   8.5608e-08   6.2014e+08   6.2014e+08
  1.5991e-01   1.6264e-01  -1.8202e+00  -1.3671e-04   6.5501e-06   3.2249e-05  -8.6591e-06   6.2295e-08   6.2295e-08   1.1711e+09   1.1711e+09
  2.1867e-01   2.2327e-01  -1.5034e+00  -1.4935e-04  -1.9401e-05   2.6704e-05  -7.2793e-06   4.4949e-08   4.4949e-08   2.2495e+09   2.2495e+09
  2.9903e-01   3.0568e-01  -1.1892e+00  -1.3800e-04   5.4683e-06   3.1806e-05   3.1146e-06   3.3175e-08   3.3175e-08   4.1295e+09   4.1295e+09
  4.0891e-01   4.1634e-01  -8.8023e-01  -1.6194e-04   3.6820e-06   3.4291e-05   7.8706e-06   2.4422e-08   2.4422e-08   7.6198e+09   7.6198e+09
  5.5917e-01   5.7029e-01  -5.6557e-01  -1.6170e-04   9.7091e-07   2.7045e-05   1.0941e-06   1.8018e-08   1.8018e-08   1.3999e+10   1.3999e+10
  7.6465e-01   7.7920e-01  -2.5337e-01  -1.5817e-04   1.8745e-06   3.2334e-05  -9.1469e-07   1.3239e-08   1.3239e-08   2.5932e+10   2.5932e+10
  1.0456e+00   1.0660e+00   6.0035e-02  -1.5573e-04   6.8038e-07   2.9881e-05  -5.5758e-08   9.8784e-09   9.8784e-09   4.6574e+10   4.6574e+10
  1.4299e+00   1.4595e+00   3.7427e-01  -1.5716e-04  -1.2069e-06   2.9554e-05  -8.1660e-07   7.3225e-09   7.3225e-09   8.4763e+10   8.4763e+10
  1.9553e+00   1.9932e+00   6.8597e-01  -1.5424e-04   2.9692e-06   2.6990e-05  -5.3970e-07   5.4221e-09   5.4221e-09   1.5459e+11   1.5459e+11
  2.6738e+00   2.7260e+00   9.9906e-01  -1.5645e-04   1.5863e-06   2.7209e-05  -7.3550e-07   4.0067e-09   4.0067e-09   2.8311e+11   2.8311e+11
  3.6564e+00   3.7284e+00   1.3122e+00  -1.5454e-04   1.3078e-06   2.7682e-05  -2.2152e-07   2.9725e-09   2.9725e-09   5.1437e+11   5.1437e+11
  5.0000e+00   5.0963e+00   1.6247e+00  -1.5097e-04   4.4555e-07   2.5669e-05  -5.8966e-07   2.2034e-09   2.2034e-09   9.3610e+11   9.3610e+11
  6.8373e+00   6.9686e+00   1.9376e+00  -1.5100e-04   1.7551e-06   2.4551e-05   4.4225e-08   1.6380e-09   1.6380e-09   1.6939e+12   1.6939e+12
  9.3499e+00   9.5437e+00   2.2521e+00  -1.4916e-04   1.4727e-06   2.4169e-05  -1.2467e-06   1.2087e-09   1.2087e-09   3.1106e+12   3.1106e+12
  1.2786e+01   1.3024e+01   2.5630e+00  -1.4782e-04  -1.8563e-06   2.4393e-05  -3.7444e-07   9.0051e-10   9.0051e-10   5.6046e+12   5.6046e+12
  1.7484e+01   1.7814e+01   2.8762e+00  -1.4499e-04  -1.2100e-06   2.3485e-05  -5.6017e-07   6.8029e-10   6.8029e-10   9.8204e+12   9.8204e+12
  2.3909e+01   2.4314e+01   3.1873e+00  -1.4266e-04  -8.4820e-07   2.1228e-05  -1.5258e-06   5.1887e-10   5.1887e-10   1.6881e+13   1.6881e+13
  3.2695e+01   3.3213e+01   3.4992e+00  -1.3824e-04  -6.7485e-07   1.8153e-05  -6.9525e-07   4.0467e-10   4.0467e-10   2.7753e+13   2.7753e+13
  4.4709e+01   4.5305e+01   3.8096e+00  -1.3412e-04  -1.3031e-06   1.6182e-05   1.8761e-08   3.2861e-10   3.2861e-10   4.2088e+13   4.2088e+13
  6.1138e+01   6.1606e+01   4.1170e+00  -1.2727e-04  -3.4759e-06   1.6526e-05   1.0396e-07   2.8904e-10   2.8904e-10   5.4399e+13   5.4399e+13
  8.3604e+01   8.2834e+01   4.4132e+00  -1.2092e-04  -1.5578e-05   1.4771e-05  -5.2617e-06   3.0677e-10   3.0677e-10   4.8292e+13   4.8292e+13
  1.1433e+02   1.0679e+02   4.6684e+00  -9.9032e-05  -4.3774e-05   1.9231e-05  -1.9494e-05   6.1549e-10   6.1549e-10   1.1997e+13   1.1997e+13
  1.5634e+02   1.5753e+02   5.0558e+00   1.3577e-06  -2.3962e-06   2.8706e-06   4.0760e-07   1.2114e-09   1.2114e-09   3.0968e+12   3.0968e+12
  2.1379e+02   2.1487e+02   5.3660e+00  -2.9869e-06  -2.0081e-06   2.9680e-06   2.0576e-06   1.2211e-09   1.2211e-09   3.0480e+12   3.0480e+12
