## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   5.4317e-04  -9.0615e-07   2.5779e-07  -1.2332e-06   2.2293e-07   2.2293e-07   3.5798e+07   3.5798e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   5.4048e-04  -6.7919e-08  -2.4653e-07  -5.9111e-09   1.6317e-07   1.6317e-07   6.6819e+07   6.6819e+07
  2.1867e-01   2.2310e-01  -1.5041e+00   5.4001e-04  -6.4791e-07  -2.1310e-08  -6.0831e-08   1.1976e-07   1.1976e-07   1.2405e+08   1.2405e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   5.3884e-04   2.1009e-07   7.3854e-08  -6.8451e-07   8.7982e-08   8.7982e-08   2.2983e+08   2.2983e+08
  4.0891e-01   4.1714e-01  -8.7821e-01   5.3807e-04   1.9400e-07   2.5774e-08   2.2714e-07   6.4566e-08   6.4566e-08   4.2676e+08   4.2676e+08
  5.5917e-01   5.7039e-01  -5.6525e-01   5.3588e-04   8.8824e-08  -4.8868e-08  -3.3701e-07   4.7361e-08   4.7361e-08   7.9313e+08   7.9313e+08
  7.6465e-01   7.7990e-01  -2.5236e-01   5.3346e-04   1.1898e-07   1.4598e-08  -1.5516e-07   3.4797e-08   3.4797e-08   1.4693e+09   1.4693e+09
  1.0456e+00   1.0664e+00   6.0522e-02   5.2987e-04   2.4139e-07   1.2600e-07  -4.8503e-07   2.5584e-08   2.5584e-08   2.7181e+09   2.7181e+09
  1.4299e+00   1.4581e+00   3.7340e-01   5.2637e-04   4.0547e-07   1.9186e-07  -5.8625e-07   1.8850e-08   1.8850e-08   5.0072e+09   5.0072e+09
  1.9553e+00   1.9938e+00   6.8631e-01   5.2252e-04   7.1982e-07   5.5748e-07  -6.2148e-07   1.3901e-08   1.3901e-08   9.2065e+09   9.2065e+09
  2.6738e+00   2.7266e+00   9.9933e-01   5.1639e-04   7.6801e-07   1.1446e-06  -6.6215e-07   1.0250e-08   1.0250e-08   1.6935e+10   1.6935e+10
  3.6564e+00   3.7283e+00   1.3122e+00   5.0656e-04   9.1370e-07   1.8550e-06  -7.5373e-07   7.5559e-09   7.5559e-09   3.1162e+10   3.1162e+10
  5.0000e+00   5.0979e+00   1.6251e+00   4.9197e-04   9.1935e-07   2.5738e-06  -6.7856e-07   5.5812e-09   5.5812e-09   5.7114e+10   5.7114e+10
  6.8373e+00   6.9706e+00   1.9380e+00   4.7237e-04   6.3788e-07   3.2751e-06  -7.0927e-07   4.1285e-09   4.1285e-09   1.0438e+11   1.0438e+11
  9.3499e+00   9.5374e+00   2.2515e+00   4.4773e-04   6.8153e-07   3.8023e-06  -9.9501e-07   3.0416e-09   3.0416e-09   1.9230e+11   1.9230e+11
  1.2786e+01   1.3028e+01   2.5633e+00   4.1592e-04   2.4357e-07   3.8333e-06   2.6616e-07   2.2584e-09   2.2584e-09   3.4882e+11   3.4882e+11
  1.7484e+01   1.7817e+01   2.8764e+00   3.6851e-04   2.3871e-06   3.9114e-06   7.4465e-07   1.6936e-09   1.6936e-09   6.2025e+11   6.2025e+11
  2.3909e+01   2.4338e+01   3.1883e+00   3.0493e-04   1.4905e-06   2.1619e-06   8.4694e-07   1.2775e-09   1.2775e-09   1.0901e+12   1.0901e+12
  3.2695e+01   3.3260e+01   3.5006e+00   2.3670e-04   7.8241e-07   2.1021e-06   1.2535e-06   9.7674e-10   9.7674e-10   1.8648e+12   1.8648e+12
  4.4709e+01   4.5427e+01   3.8123e+00   1.8526e-04  -3.0408e-06   3.8445e-06   1.1979e-06   7.6323e-10   7.6323e-10   3.0541e+12   3.0541e+12
  6.1138e+01   6.2012e+01   4.1235e+00   1.6872e-04  -1.2749e-05   4.5481e-06   3.3615e-06   6.1551e-10   6.1551e-10   4.6959e+12   4.6959e+12
  8.3604e+01   8.4680e+01   4.4350e+00   1.5283e-04  -1.8030e-05  -4.6707e-06   1.1706e-05   5.1279e-10   5.1279e-10   6.7657e+12   6.7657e+12
  1.1433e+02   1.1652e+02   4.7542e+00   9.4865e-05   2.0979e-06   5.4811e-06  -2.9998e-06   4.1319e-10   4.1319e-10   1.0421e+13   1.0421e+13
  1.5634e+02   1.5884e+02   5.0641e+00   5.2600e-05   4.3248e-06  -6.7159e-06  -1.9565e-06   3.1214e-10   3.1214e-10   1.8260e+13   1.8260e+13
  2.1379e+02   2.1692e+02   5.3756e+00   5.5546e-05  -1.8348e-06  -3.0395e-06  -2.7012e-06   2.5697e-10   2.5697e-10   2.6943e+13   2.6943e+13
