## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   7.1733e-06  -1.9553e-07   2.2782e-06  -9.4565e-07   1.7372e-07   1.7372e-07   7.1256e+07   7.1256e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   7.0991e-06  -1.5260e-07   2.2086e-06  -1.9251e-08   1.2715e-07   1.2715e-07   1.3301e+08   1.3301e+08
  2.1867e-01   2.2310e-01  -1.5041e+00   8.2193e-06   5.7747e-08   1.6591e-06   2.6973e-07   9.3326e-08   9.3326e-08   2.4691e+08   2.4691e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   8.0881e-06  -4.3693e-08   1.9059e-06  -4.1771e-08   6.8563e-08   6.8563e-08   4.5747e+08   4.5747e+08
  4.0891e-01   4.1714e-01  -8.7821e-01   8.4561e-06   1.4039e-07   2.0869e-06  -4.3963e-08   5.0315e-08   5.0315e-08   8.4946e+08   8.4946e+08
  5.5917e-01   5.7039e-01  -5.6525e-01   8.7230e-06   2.0128e-07   1.8778e-06  -3.3217e-08   3.6908e-08   3.6908e-08   1.5787e+09   1.5787e+09
  7.6465e-01   7.7990e-01  -2.5236e-01   8.7548e-06   2.5489e-08   1.8387e-06   3.8081e-08   2.7117e-08   2.7117e-08   2.9245e+09   2.9245e+09
  1.0456e+00   1.0664e+00   6.0522e-02   8.7452e-06   9.6035e-08   1.8436e-06   7.6570e-08   1.9937e-08   1.9937e-08   5.4102e+09   5.4102e+09
  1.4299e+00   1.4581e+00   3.7340e-01   8.7536e-06   2.1135e-08   1.9242e-06  -4.2544e-08   1.4690e-08   1.4690e-08   9.9661e+09   9.9661e+09
  1.9553e+00   1.9938e+00   6.8631e-01   8.7141e-06   2.9822e-08   1.9402e-06  -1.3220e-09   1.0833e-08   1.0833e-08   1.8324e+10   1.8324e+10
  2.6738e+00   2.7266e+00   9.9933e-01   8.5343e-06   6.9259e-08   2.0048e-06   3.8253e-08   7.9878e-09   7.9878e-09   3.3704e+10   3.3704e+10
  3.6564e+00   3.7283e+00   1.3122e+00   8.2332e-06   5.0806e-08   2.0721e-06  -2.1906e-08   5.8885e-09   5.8885e-09   6.2020e+10   6.2020e+10
  5.0000e+00   5.0979e+00   1.6251e+00   7.6206e-06   8.8554e-10   2.2026e-06  -1.8872e-08   4.3496e-09   4.3496e-09   1.1367e+11   1.1367e+11
  6.8373e+00   6.9706e+00   1.9380e+00   6.8021e-06  -2.0544e-08   2.4178e-06  -6.3853e-08   3.2175e-09   3.2175e-09   2.0773e+11   2.0773e+11
  9.3499e+00   9.5374e+00   2.2515e+00   6.1660e-06  -1.0075e-08   2.5234e-06  -9.9689e-08   2.3704e-09   2.3704e-09   3.8273e+11   3.8273e+11
  1.2786e+01   1.3028e+01   2.5633e+00   5.7645e-06  -1.2302e-08   2.4488e-06  -7.6721e-08   1.7600e-09   1.7600e-09   6.9425e+11   6.9425e+11
  1.7484e+01   1.7817e+01   2.8764e+00   4.9392e-06   2.7205e-08   2.3555e-06   1.3400e-09   1.3199e-09   1.3199e-09   1.2345e+12   1.2345e+12
  2.3909e+01   2.4338e+01   3.1883e+00   3.5120e-06   3.3606e-08   2.2536e-06  -7.1871e-08   9.9555e-10   9.9555e-10   2.1698e+12   2.1698e+12
  3.2695e+01   3.3260e+01   3.5006e+00   2.2441e-06  -6.7157e-10   2.0337e-06  -2.2768e-07   7.6116e-10   7.6116e-10   3.7119e+12   3.7119e+12
  4.4709e+01   4.5427e+01   3.8123e+00   1.5349e-06  -7.5639e-08   1.8302e-06  -2.7996e-07   5.9475e-10   5.9475e-10   6.0796e+12   6.0796e+12
  6.1138e+01   6.2012e+01   4.1235e+00   1.7979e-06  -3.1148e-07   1.8288e-06  -1.0288e-07   4.7960e-10   4.7960e-10   9.3494e+12   9.3494e+12
  8.3604e+01   8.4681e+01   4.4351e+00   1.7172e-06  -6.9534e-07   2.0044e-06   6.3918e-07   3.9947e-10   3.9947e-10   1.3476e+13   1.3476e+13
  1.1433e+02   1.1652e+02   4.7542e+00   1.9171e-06   6.0389e-07   2.3318e-06  -1.6329e-07   3.2172e-10   3.2172e-10   2.0777e+13   2.0777e+13
  1.5634e+02   1.5884e+02   5.0641e+00   6.4962e-07   1.6427e-07   2.2871e-06  -1.1375e-07   2.4301e-10   2.4301e-10   3.6416e+13   3.6416e+13
  2.1379e+02   2.1692e+02   5.3756e+00   5.7808e-07  -1.7362e-07   2.0383e-06  -3.5980e-08   2.0006e-10   2.0006e-10   5.3729e+13   5.3729e+13
