## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1935e-01  -2.1297e+00   1.4176e-05   5.9095e-07  -5.5252e-07  -9.7683e-07   6.7833e-07   6.7833e-07   1.3606e+06   1.3606e+06
  1.5991e-01   1.6312e-01  -1.8172e+00   1.5455e-05  -3.3330e-07  -2.5499e-07   3.3644e-07   4.9685e-07   4.9685e-07   2.5362e+06   2.5362e+06
  2.1867e-01   2.2305e-01  -1.5043e+00   1.5103e-05  -2.7666e-07   7.9820e-07   3.0890e-07   3.6586e-07   3.6586e-07   4.6772e+06   4.6772e+06
  2.9903e-01   3.0500e-01  -1.1914e+00   1.5325e-05   3.4274e-08  -8.9260e-08   4.1227e-08   2.6938e-07   2.6938e-07   8.6275e+06   8.6275e+06
  4.0891e-01   4.1705e-01  -8.7839e-01   1.3905e-05   3.0714e-08  -1.1748e-07   3.4310e-08   1.9823e-07   1.9823e-07   1.5932e+07   1.5932e+07
  5.5917e-01   5.7016e-01  -5.6561e-01   1.3230e-05  -9.1528e-08  -1.1204e-07   1.9200e-07   1.4609e-07   1.4609e-07   2.9334e+07   2.9334e+07
  7.6465e-01   7.7948e-01  -2.5282e-01   1.1905e-05  -9.2789e-08  -7.1252e-08   1.5879e-07   1.0789e-07   1.0789e-07   5.3780e+07   5.3780e+07
  1.0456e+00   1.0658e+00   6.0084e-02   1.0511e-05   9.5662e-08   4.2962e-08  -1.1429e-09   7.9902e-08   7.9902e-08   9.8061e+07   9.8061e+07
  1.4299e+00   1.4577e+00   3.7323e-01   8.5138e-06  -2.6235e-08  -1.2512e-07  -1.4036e-08   5.9123e-08   5.9123e-08   1.7911e+08   1.7911e+08
  1.9553e+00   1.9935e+00   6.8627e-01   6.6118e-06   1.1626e-07   1.8882e-08   8.7705e-10   4.3653e-08   4.3653e-08   3.2855e+08   3.2855e+08
  2.6738e+00   2.7260e+00   9.9924e-01   4.6181e-06   1.3260e-07  -9.1650e-08  -3.1008e-08   3.2229e-08   3.2229e-08   6.0274e+08   6.0274e+08
  3.6564e+00   3.7278e+00   1.3122e+00   3.0707e-06   1.8145e-07   5.0152e-09  -8.3149e-09   2.3808e-08   2.3808e-08   1.1045e+09   1.1045e+09
  5.0000e+00   5.0973e+00   1.6251e+00   2.2351e-06   2.3064e-07   3.3594e-08  -7.0406e-09   1.7611e-08   1.7611e-08   2.0186e+09   2.0186e+09
  6.8373e+00   6.9700e+00   1.9380e+00   2.2539e-06   2.3326e-07   6.7521e-08   1.1366e-08   1.3048e-08   1.3048e-08   3.6773e+09   3.6773e+09
  9.3499e+00   9.5410e+00   2.2519e+00   2.4731e-06   1.6012e-07   9.1877e-08  -7.5671e-09   9.6004e-09   9.6004e-09   6.7926e+09   6.7926e+09
  1.2786e+01   1.3027e+01   2.5634e+00   2.1463e-06   5.5567e-08   8.6741e-08   5.0700e-08   7.1266e-09   7.1266e-09   1.2327e+10   1.2327e+10
  1.7484e+01   1.7819e+01   2.8766e+00   1.4855e-06  -1.8107e-08   9.2741e-08   4.7166e-08   5.3459e-09   5.3459e-09   2.1906e+10   2.1906e+10
  2.3909e+01   2.4334e+01   3.1882e+00   9.6822e-07   2.3709e-08   9.9176e-08   5.2707e-08   4.0357e-09   4.0357e-09   3.8440e+10   3.8440e+10
  3.2695e+01   3.3255e+01   3.5005e+00   5.1918e-07   2.9572e-08   7.3577e-08   5.5113e-08   3.0924e-09   3.0924e-09   6.5469e+10   6.5469e+10
  4.4709e+01   4.5411e+01   3.8120e+00   2.9529e-07   2.8061e-08   3.0680e-08   4.5984e-08   2.4279e-09   2.4279e-09   1.0621e+11   1.0621e+11
  6.1138e+01   6.1953e+01   4.1226e+00   2.7652e-07   3.3444e-08  -7.6276e-09   3.9711e-08   1.9821e-09   1.9821e-09   1.5935e+11   1.5935e+11
  8.3604e+01   8.4380e+01   4.4315e+00   3.4674e-07   4.7351e-08  -1.5462e-08   2.9124e-08   1.7209e-09   1.7209e-09   2.1141e+11   2.1141e+11
  1.1433e+02   1.1589e+02   4.7488e+00   1.9620e-07   2.5606e-08  -4.7687e-09  -1.6366e-08   1.5379e-09   1.5379e-09   2.6471e+11   2.6471e+11
  1.5634e+02   1.5931e+02   5.0671e+00   1.2597e-07   2.6894e-08  -9.5993e-09  -6.3747e-09   1.1771e-09   1.1771e-09   4.5186e+11   4.5186e+11
  2.1379e+02   2.1775e+02   5.3796e+00   1.2935e-07   3.0582e-08  -1.0610e-08  -2.4261e-09   8.8977e-10   8.8977e-10   7.9080e+11   7.9080e+11
