## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1932e-01  -2.1297e+00   1.5377e-05  -2.0603e-06  -2.9427e-06   2.3498e-06   7.5255e-08   7.5255e-08   3.0935e+08   3.0935e+08
  1.5991e-01   1.6264e-01  -1.8202e+00   1.3309e-05   7.2794e-07   2.3132e-06   9.3552e-07   5.4757e-08   5.4757e-08   5.8430e+08   5.8430e+08
  2.1867e-01   2.2327e-01  -1.5034e+00   6.8047e-06  -7.0669e-07   5.5238e-07   4.7825e-07   3.9509e-08   3.9509e-08   1.1223e+09   1.1223e+09
  2.9903e-01   3.0568e-01  -1.1892e+00   8.7188e-06   3.3207e-09  -5.2164e-07   6.4110e-07   2.9161e-08   2.9161e-08   2.0602e+09   2.0602e+09
  4.0891e-01   4.1635e-01  -8.8023e-01   1.1748e-05  -1.1874e-06   2.4645e-07   6.1229e-07   2.1467e-08   2.1467e-08   3.8017e+09   3.8017e+09
  5.5917e-01   5.7029e-01  -5.6557e-01   1.0759e-05   1.0269e-06  -2.2158e-07  -1.4287e-07   1.5837e-08   1.5837e-08   6.9849e+09   6.9849e+09
  7.6465e-01   7.7920e-01  -2.5338e-01   1.0178e-05   5.4843e-07   2.8340e-07   7.4636e-07   1.1636e-08   1.1636e-08   1.2939e+10   1.2939e+10
  1.0456e+00   1.0660e+00   6.0039e-02   9.3495e-06  -1.7207e-07  -1.3751e-07   6.0108e-08   8.6831e-09   8.6831e-09   2.3236e+10   2.3236e+10
  1.4299e+00   1.4595e+00   3.7427e-01   8.9817e-06   3.5943e-07  -9.3455e-08   2.3243e-08   6.4363e-09   6.4363e-09   4.2291e+10   4.2291e+10
  1.9553e+00   1.9932e+00   6.8596e-01   8.1461e-06   7.0932e-09  -1.3861e-08  -4.6743e-08   4.7659e-09   4.7659e-09   7.7131e+10   7.7131e+10
  2.6738e+00   2.7260e+00   9.9906e-01   7.8567e-06   1.4370e-07  -2.6309e-07   1.1617e-08   3.5218e-09   3.5218e-09   1.4125e+11   1.4125e+11
  3.6564e+00   3.7284e+00   1.3122e+00   6.8454e-06   1.2996e-07  -7.9676e-08  -1.4819e-07   2.6128e-09   2.6128e-09   2.5663e+11   2.5663e+11
  5.0000e+00   5.0963e+00   1.6247e+00   5.8700e-06   2.0133e-07  -3.6039e-08  -3.5456e-09   1.9368e-09   1.9368e-09   4.6705e+11   4.6705e+11
  6.8373e+00   6.9686e+00   1.9376e+00   5.9527e-06   7.3661e-08  -2.4694e-08   1.1161e-08   1.4398e-09   1.4398e-09   8.4512e+11   8.4512e+11
  9.3499e+00   9.5437e+00   2.2521e+00   6.1562e-06   4.2997e-08  -1.2662e-08   6.6116e-08   1.0625e-09   1.0625e-09   1.5520e+12   1.5520e+12
  1.2786e+01   1.3024e+01   2.5630e+00   6.0976e-06   1.1233e-07  -8.3636e-08   1.3950e-08   7.9152e-10   7.9152e-10   2.7963e+12   2.7963e+12
  1.7484e+01   1.7814e+01   2.8762e+00   5.9679e-06   4.5388e-08  -1.2465e-07   5.6804e-08   5.9796e-10   5.9796e-10   4.8998e+12   4.8998e+12
  2.3909e+01   2.4314e+01   3.1873e+00   5.8393e-06   3.8537e-08  -1.4151e-07   1.0417e-07   4.5607e-10   4.5607e-10   8.4228e+12   8.4228e+12
  3.2695e+01   3.3213e+01   3.4992e+00   5.6615e-06  -3.1663e-08  -1.5064e-07  -9.2351e-09   3.5570e-10   3.5570e-10   1.3847e+13   1.3847e+13
  4.4709e+01   4.5305e+01   3.8096e+00   5.4697e-06   1.6915e-08  -1.7700e-07  -2.8605e-08   2.8884e-10   2.8884e-10   2.0999e+13   2.0999e+13
  6.1138e+01   6.1606e+01   4.1169e+00   5.0865e-06  -5.1246e-09  -1.9572e-07  -1.2077e-07   2.5407e-10   2.5407e-10   2.7141e+13   2.7141e+13
  8.3604e+01   8.2834e+01   4.4132e+00   4.3975e-06   4.6015e-08  -5.3751e-07   8.1075e-08   2.6967e-10   2.6967e-10   2.4091e+13   2.4091e+13
  1.1433e+02   1.0679e+02   4.6684e+00   2.4755e-06   4.9659e-07  -6.2065e-07   1.8315e-07   5.4109e-10   5.4109e-10   5.9838e+12   5.9838e+12
  1.5634e+02   1.5753e+02   5.0558e+00  -1.4655e-07   1.7304e-08   4.0700e-07  -1.1222e-07   1.0655e-09   1.0655e-09   1.5433e+12   1.5433e+12
  2.1379e+02   2.1486e+02   5.3660e+00  -4.8232e-08   8.7396e-08   2.4081e-07  -1.8999e-07   1.0741e-09   1.0741e-09   1.5186e+12   1.5186e+12
