## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1942e-01  -2.1291e+00   1.2800e-03   2.6335e-06  -3.5074e-07  -2.2993e-06   9.7288e-07   9.7288e-07   2.0623e+06   2.0623e+06
  1.5991e-01   1.6315e-01  -1.8170e+00   1.2718e-03   3.2290e-06   3.7081e-07  -2.4265e-06   7.0677e-07   7.0677e-07   3.9076e+06   3.9076e+06
  2.1867e-01   2.2300e-01  -1.5045e+00   1.2737e-03   2.0417e-07   2.8493e-07  -1.3434e-06   5.2040e-07   5.2040e-07   7.2076e+06   7.2076e+06
  2.9903e-01   3.0499e-01  -1.1914e+00   1.2747e-03  -4.4586e-07   4.1852e-07  -9.3760e-07   3.8326e-07   3.8326e-07   1.3289e+07   1.3289e+07
  4.0891e-01   4.1698e-01  -8.7853e-01   1.2741e-03   1.7571e-06   5.4103e-07   1.7956e-06   2.8272e-07   2.8272e-07   2.4421e+07   2.4421e+07
  5.5917e-01   5.7011e-01  -5.6568e-01   1.2690e-03  -5.2058e-08   6.3570e-07   5.6932e-07   2.0835e-07   2.0835e-07   4.4963e+07   4.4963e+07
  7.6465e-01   7.7948e-01  -2.5282e-01   1.2660e-03   4.1769e-07   6.7718e-07  -4.3807e-07   1.5400e-07   1.5400e-07   8.2309e+07   8.2309e+07
  1.0456e+00   1.0658e+00   6.0050e-02   1.2574e-03   1.3090e-06   7.6636e-07  -7.7095e-08   1.1413e-07   1.1413e-07   1.4986e+08   1.4986e+08
  1.4299e+00   1.4577e+00   3.7324e-01   1.2475e-03   2.4496e-06   5.8484e-07  -1.9029e-07   8.4502e-08   8.4502e-08   2.7336e+08   2.7336e+08
  1.9553e+00   1.9936e+00   6.8631e-01   1.2357e-03   3.3281e-06   4.3684e-07  -2.7746e-07   6.2413e-08   6.2413e-08   5.0108e+08   5.0108e+08
  2.6738e+00   2.7261e+00   9.9924e-01   1.2197e-03   3.6075e-06   5.7854e-07   1.4810e-07   4.6069e-08   4.6069e-08   9.1970e+08   9.1970e+08
  3.6564e+00   3.7278e+00   1.3122e+00   1.1988e-03   3.3542e-06   6.6565e-07   6.6580e-08   3.4051e-08   3.4051e-08   1.6835e+09   1.6835e+09
  5.0000e+00   5.0972e+00   1.6251e+00   1.1708e-03   2.8869e-06   1.0699e-06   1.7041e-07   2.5198e-08   2.5198e-08   3.0742e+09   3.0742e+09
  6.8373e+00   6.9698e+00   1.9379e+00   1.1346e-03   3.0227e-06   1.2729e-06   4.2798e-07   1.8681e-08   1.8681e-08   5.5933e+09   5.5933e+09
  9.3499e+00   9.5409e+00   2.2519e+00   1.0965e-03   6.4558e-06   1.9011e-07   5.9245e-07   1.3759e-08   1.3759e-08   1.0311e+10   1.0311e+10
  1.2786e+01   1.3027e+01   2.5633e+00   1.0463e-03   6.4661e-06   1.0894e-07  -2.4405e-08   1.0224e-08   1.0224e-08   1.8674e+10   1.8674e+10
  1.7484e+01   1.7818e+01   2.8765e+00   9.6698e-04   1.2337e-05   3.5520e-07  -4.0055e-08   7.6778e-09   7.6778e-09   3.3112e+10   3.3112e+10
  2.3909e+01   2.4332e+01   3.1881e+00   8.7052e-04   1.9363e-05  -1.0617e-06  -1.2657e-06   5.8055e-09   5.8055e-09   5.7914e+10   5.7914e+10
  3.2695e+01   3.3251e+01   3.5004e+00   7.5436e-04   3.3945e-05  -2.2786e-06  -9.5166e-07   4.4590e-09   4.4590e-09   9.8173e+10   9.8173e+10
  4.4709e+01   4.5403e+01   3.8118e+00   6.2697e-04   5.1518e-05  -3.2536e-06   1.0411e-06   3.5116e-09   3.5116e-09   1.5829e+11   1.5829e+11
  6.1138e+01   6.1939e+01   4.1224e+00   4.9958e-04   7.3981e-05  -3.1706e-06   4.3988e-06   2.8783e-09   2.8783e-09   2.3560e+11   2.3560e+11
  8.3604e+01   8.4279e+01   4.4303e+00   4.0417e-04   1.1319e-04   1.1150e-05   9.5981e-06   2.5312e-09   2.5312e-09   3.0467e+11   3.0467e+11
  1.1433e+02   1.1564e+02   4.7465e+00   2.0925e-04   4.8099e-05   2.9448e-05   2.3413e-05   2.3464e-09   2.3464e-09   3.5452e+11   3.5452e+11
  1.5634e+02   1.5921e+02   5.0665e+00   1.7381e-04   4.2289e-05   2.3419e-05   3.5730e-05   1.8377e-09   1.8377e-09   5.7801e+11   5.7801e+11
  2.1379e+02   2.1794e+02   5.3805e+00   2.3490e-04   7.6220e-05   2.0066e-05   3.6731e-05   1.3840e-09   1.3840e-09   1.0191e+12   1.0191e+12
