## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1942e-01  -2.1291e+00   1.5891e-03   2.4694e-06   3.7983e-07   2.0443e-06   4.2390e-07   4.2390e-07   1.6564e+07   1.6564e+07
  1.5991e-01   1.6317e-01  -1.8170e+00   1.5779e-03  -3.2835e-06   2.3215e-07   1.8425e-06   3.0951e-07   3.0951e-07   3.1071e+07   3.1071e+07
  2.1867e-01   2.2302e-01  -1.5045e+00   1.5753e-03   2.1990e-06   1.1157e-06  -1.8519e-06   2.2728e-07   2.2728e-07   5.7617e+07   5.7617e+07
  2.9903e-01   3.0499e-01  -1.1914e+00   1.5701e-03  -4.5855e-07   7.8316e-07  -1.1185e-06   1.6705e-07   1.6705e-07   1.0665e+08   1.0665e+08
  4.0891e-01   4.1710e-01  -8.7832e-01   1.5701e-03   1.0199e-06   7.4311e-07   1.2238e-06   1.2279e-07   1.2279e-07   1.9740e+08   1.9740e+08
  5.5917e-01   5.7032e-01  -5.6538e-01   1.5634e-03  -5.0130e-07   6.3255e-07   5.2307e-07   9.0301e-08   9.0301e-08   3.6500e+08   3.6500e+08
  7.6465e-01   7.7978e-01  -2.5252e-01   1.5546e-03  -1.9370e-07   5.2645e-07   3.1695e-07   6.6510e-08   6.6510e-08   6.7285e+08   6.7285e+08
  1.0456e+00   1.0662e+00   6.0344e-02   1.5432e-03  -1.9900e-06   5.0206e-07   1.9441e-06   4.9063e-08   4.9063e-08   1.2365e+09   1.2365e+09
  1.4299e+00   1.4579e+00   3.7331e-01   1.5326e-03  -3.9229e-06  -5.2969e-08   3.9224e-06   3.6233e-08   3.6233e-08   2.2672e+09   2.2672e+09
  1.9553e+00   1.9937e+00   6.8630e-01   1.5206e-03  -5.4315e-06  -4.8768e-07   4.6874e-06   2.6739e-08   2.6739e-08   4.1628e+09   4.1628e+09
  2.6738e+00   2.7264e+00   9.9928e-01   1.5070e-03  -5.7709e-06  -8.7591e-07   5.9545e-06   1.9730e-08   1.9730e-08   7.6458e+09   7.6458e+09
  3.6564e+00   3.7281e+00   1.3122e+00   1.4861e-03  -4.9487e-06  -1.4547e-06   5.2931e-06   1.4558e-08   1.4558e-08   1.4043e+10   1.4043e+10
  5.0000e+00   5.0978e+00   1.6251e+00   1.4585e-03  -3.6750e-06  -2.4399e-06   5.1262e-06   1.0759e-08   1.0759e-08   2.5713e+10   2.5713e+10
  6.8373e+00   6.9706e+00   1.9380e+00   1.4214e-03  -1.4732e-06  -4.0134e-06   4.0818e-06   7.9587e-09   7.9587e-09   4.6990e+10   4.6990e+10
  9.3499e+00   9.5400e+00   2.2518e+00   1.3820e-03  -1.2197e-06  -5.5311e-06   5.8930e-06   5.8536e-09   5.8536e-09   8.6864e+10   8.6864e+10
  1.2786e+01   1.3029e+01   2.5634e+00   1.3269e-03   9.5260e-06  -6.3268e-06  -2.5004e-06   4.3368e-09   4.3368e-09   1.5825e+11   1.5825e+11
  1.7484e+01   1.7822e+01   2.8767e+00   1.2393e-03   1.2032e-05  -7.4663e-06   4.4606e-07   3.2413e-09   3.2413e-09   2.8331e+11   2.8331e+11
  2.3909e+01   2.4343e+01   3.1885e+00   1.1304e-03   2.1044e-05  -1.0802e-05  -2.6539e-07   2.4343e-09   2.4343e-09   5.0228e+11   5.0228e+11
  3.2695e+01   3.3272e+01   3.5010e+00   1.0039e-03   3.3858e-05  -1.0014e-05   6.1135e-07   1.8495e-09   1.8495e-09   8.7012e+11   8.7012e+11
  4.4709e+01   4.5450e+01   3.8128e+00   8.7891e-04   5.0558e-05  -1.0945e-05   3.9427e-06   1.4324e-09   1.4324e-09   1.4507e+12   1.4507e+12
  6.1138e+01   6.2042e+01   4.1240e+00   7.7105e-04   6.8406e-05  -2.6521e-05   7.7919e-07   1.1439e-09   1.1439e-09   2.2745e+12   2.2745e+12
  8.3604e+01   8.4641e+01   4.4346e+00   7.6786e-04   1.1229e-04  -3.2579e-05  -1.9193e-05   9.5064e-10   9.5064e-10   3.2935e+12   3.2935e+12
  1.1433e+02   1.1604e+02   4.7501e+00   7.0357e-04   4.6229e-05   8.3168e-06  -7.6002e-06   7.9958e-10   7.9958e-10   4.6554e+12   4.6554e+12
  1.5634e+02   1.5917e+02   5.0662e+00   5.0940e-04   1.4982e-05   2.7612e-05   9.9273e-06   6.1746e-10   6.1746e-10   7.8067e+12   7.8067e+12
  2.1379e+02   2.1746e+02   5.3782e+00   4.7737e-04   2.2901e-05  -7.1446e-06   1.2036e-05   4.7577e-10   4.7577e-10   1.3149e+13   1.3149e+13
