## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   9.1802e-04   7.5525e-07  -2.4473e-07   5.6727e-07   6.6812e-07   6.6812e-07   2.4756e+06   2.4756e+06
  1.5991e-01   1.6311e-01  -1.8173e+00   9.1381e-04  -6.0599e-08   1.0126e-08  -7.0638e-07   4.9077e-07   4.9077e-07   4.5880e+06   4.5880e+06
  2.1867e-01   2.2303e-01  -1.5044e+00   9.1451e-04  -1.7826e-07   2.7340e-08  -3.8973e-07   3.6160e-07   3.6160e-07   8.4513e+06   8.4513e+06
  2.9903e-01   3.0498e-01  -1.1914e+00   9.1414e-04  -5.6507e-07   6.7496e-08  -2.0998e-07   2.6628e-07   2.6628e-07   1.5586e+07   1.5586e+07
  4.0891e-01   4.1700e-01  -8.7844e-01   9.1147e-04  -2.1715e-07  -3.9744e-08  -2.7139e-07   1.9600e-07   1.9600e-07   2.8767e+07   2.8767e+07
  5.5917e-01   5.7011e-01  -5.6563e-01   9.0770e-04  -1.8665e-07  -7.6479e-08  -4.1184e-07   1.4443e-07   1.4443e-07   5.2976e+07   5.2976e+07
  7.6465e-01   7.7946e-01  -2.5280e-01   9.0288e-04  -3.3426e-07   7.5837e-09  -1.7164e-07   1.0667e-07   1.0667e-07   9.7113e+07   9.7113e+07
  1.0456e+00   1.0658e+00   6.0106e-02   8.9562e-04  -3.4699e-07   9.9709e-08  -2.1885e-07   7.8995e-08   7.8995e-08   1.7709e+08   1.7709e+08
  1.4299e+00   1.4577e+00   3.7325e-01   8.8742e-04  -7.9513e-07   5.6147e-08  -7.7274e-07   5.8460e-08   5.8460e-08   3.2335e+08   3.2335e+08
  1.9553e+00   1.9935e+00   6.8629e-01   8.7845e-04  -9.3021e-07   1.1416e-07  -9.4327e-07   4.3170e-08   4.3170e-08   5.9296e+08   5.9296e+08
  2.6738e+00   2.7261e+00   9.9925e-01   8.6678e-04  -1.0058e-06   1.4354e-07  -1.0521e-06   3.1872e-08   3.1872e-08   1.0879e+09   1.0879e+09
  3.6564e+00   3.7278e+00   1.3122e+00   8.5133e-04  -8.3247e-07   2.3469e-07  -9.7803e-07   2.3546e-08   2.3546e-08   1.9932e+09   1.9932e+09
  5.0000e+00   5.0973e+00   1.6251e+00   8.2907e-04  -5.2103e-07   6.5988e-07  -8.2225e-07   1.7418e-08   1.7418e-08   3.6426e+09   3.6426e+09
  6.8373e+00   6.9700e+00   1.9380e+00   7.9977e-04   1.1112e-07   1.2770e-06  -8.7816e-07   1.2905e-08   1.2905e-08   6.6350e+09   6.6350e+09
  9.3499e+00   9.5411e+00   2.2520e+00   7.6801e-04   5.4825e-07   1.4533e-06  -1.0124e-06   9.4961e-09   9.4961e-09   1.2255e+10   1.2255e+10
  1.2786e+01   1.3027e+01   2.5634e+00   7.2655e-04   3.3888e-06   9.7224e-07   9.6536e-07   7.0500e-09   7.0500e-09   2.2234e+10   2.2234e+10
  1.7484e+01   1.7819e+01   2.8766e+00   6.6482e-04   3.8100e-06   1.2385e-07  -4.1721e-07   5.2895e-09   5.2895e-09   3.9497e+10   3.9497e+10
  2.3909e+01   2.4334e+01   3.1882e+00   5.8676e-04   4.4460e-06  -2.9405e-06  -2.8575e-06   3.9940e-09   3.9940e-09   6.9273e+10   6.9273e+10
  3.2695e+01   3.3255e+01   3.5005e+00   4.9781e-04   6.7586e-06  -4.8929e-06  -6.1047e-06   3.0615e-09   3.0615e-09   1.1790e+11   1.1790e+11
  4.4709e+01   4.5410e+01   3.8120e+00   4.1645e-04   8.8831e-06  -1.6486e-06  -9.2827e-06   2.4049e-09   2.4049e-09   1.9107e+11   1.9107e+11
  6.1138e+01   6.1948e+01   4.1225e+00   3.6693e-04   8.5071e-06  -2.5011e-07  -1.0554e-05   1.9657e-09   1.9657e-09   2.8599e+11   2.8599e+11
  8.3604e+01   8.4363e+01   4.4313e+00   3.0631e-04   5.6318e-06   2.4535e-06   2.2968e-06   1.7113e-09   1.7113e-09   3.7736e+11   3.7736e+11
  1.1433e+02   1.1587e+02   4.7485e+00   9.7036e-05  -8.4111e-06   1.6269e-05   1.4292e-05   1.5378e-09   1.5378e-09   4.6732e+11   4.6732e+11
  1.5634e+02   1.5931e+02   5.0671e+00   7.1833e-05  -2.2751e-06   1.2605e-05   4.0882e-06   1.1781e-09   1.1781e-09   7.9626e+11   7.9626e+11
  2.1379e+02   2.1775e+02   5.3796e+00   7.8433e-05   1.5844e-05   8.0184e-06  -9.9128e-06   8.8951e-10   8.8951e-10   1.3967e+12   1.3967e+12
