## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1942e-01  -2.1291e+00   1.4918e-05   2.5189e-06   1.1230e-05   2.5195e-07   2.7035e-07   2.7035e-07   3.2981e+07   3.2981e+07
  1.5991e-01   1.6317e-01  -1.8170e+00   1.2054e-05   1.1366e-06   1.0228e-05  -4.6111e-07   1.9739e-07   1.9739e-07   6.1866e+07   6.1866e+07
  2.1867e-01   2.2301e-01  -1.5045e+00   1.2522e-05  -8.6427e-08   9.5954e-06  -7.5630e-07   1.4495e-07   1.4495e-07   1.1472e+08   1.1472e+08
  2.9903e-01   3.0499e-01  -1.1914e+00   1.2959e-05   7.9224e-07   1.0336e-05   3.3906e-07   1.0654e-07   1.0654e-07   2.1237e+08   2.1237e+08
  4.0891e-01   4.1710e-01  -8.7832e-01   1.2519e-05  -3.4358e-07   1.0407e-05   2.2366e-08   7.8310e-08   7.8310e-08   3.9308e+08   3.9308e+08
  5.5917e-01   5.7032e-01  -5.6538e-01   1.3172e-05  -1.0630e-08   1.0165e-05   5.3536e-08   5.7589e-08   5.7589e-08   7.2681e+08   7.2681e+08
  7.6465e-01   7.7978e-01  -2.5252e-01   1.3195e-05   1.7383e-07   1.0058e-05   1.0524e-08   4.2416e-08   4.2416e-08   1.3398e+09   1.3398e+09
  1.0456e+00   1.0662e+00   6.0343e-02   1.3182e-05  -5.9982e-08   1.0046e-05  -1.0504e-07   3.1290e-08   3.1290e-08   2.4621e+09   2.4621e+09
  1.4299e+00   1.4579e+00   3.7331e-01   1.3075e-05   7.1268e-08   1.0127e-05   1.3100e-07   2.3107e-08   2.3107e-08   4.5146e+09   4.5146e+09
  1.9553e+00   1.9937e+00   6.8630e-01   1.2901e-05   4.4078e-08   1.0293e-05   1.9082e-07   1.7052e-08   1.7052e-08   8.2896e+09   8.2896e+09
  2.6738e+00   2.7264e+00   9.9928e-01   1.2762e-05  -2.1533e-08   1.0580e-05   1.2764e-07   1.2582e-08   1.2582e-08   1.5226e+10   1.5226e+10
  3.6564e+00   3.7281e+00   1.3122e+00   1.2568e-05  -9.9796e-08   1.0489e-05   8.9604e-08   9.2838e-09   9.2838e-09   2.7968e+10   2.7968e+10
  5.0000e+00   5.0978e+00   1.6251e+00   1.2534e-05  -7.9693e-08   1.0348e-05   1.7549e-07   6.8607e-09   6.8607e-09   5.1212e+10   5.1212e+10
  6.8373e+00   6.9706e+00   1.9380e+00   1.2254e-05   1.1579e-07   1.0288e-05   2.0406e-08   5.0750e-09   5.0750e-09   9.3592e+10   9.3592e+10
  9.3499e+00   9.5400e+00   2.2518e+00   1.2300e-05  -1.2788e-07   1.0217e-05   7.9947e-08   3.7326e-09   3.7326e-09   1.7301e+11   1.7301e+11
  1.2786e+01   1.3029e+01   2.5634e+00   1.2159e-05  -1.4216e-08   1.0262e-05  -8.2049e-08   2.7653e-09   2.7653e-09   3.1523e+11   3.1523e+11
  1.7484e+01   1.7822e+01   2.8767e+00   1.1883e-05   1.0163e-07   1.0225e-05  -9.7932e-08   2.0666e-09   2.0666e-09   5.6443e+11   5.6443e+11
  2.3909e+01   2.4343e+01   3.1885e+00   1.1155e-05   9.3455e-08   1.0017e-05  -2.7772e-07   1.5520e-09   1.5520e-09   1.0007e+12   1.0007e+12
  3.2695e+01   3.3272e+01   3.5010e+00   1.0568e-05   7.5244e-08   9.5571e-06  -1.3034e-07   1.1791e-09   1.1791e-09   1.7337e+12   1.7337e+12
  4.4709e+01   4.5451e+01   3.8128e+00   1.0115e-05  -8.3119e-09   9.0863e-06  -2.7707e-08   9.1319e-10   9.1319e-10   2.8906e+12   2.8906e+12
  6.1138e+01   6.2042e+01   4.1240e+00   9.5187e-06  -1.0148e-07   8.8238e-06   1.4077e-07   7.2927e-10   7.2927e-10   4.5325e+12   4.5325e+12
  8.3604e+01   8.4641e+01   4.4346e+00   9.2341e-06   3.2346e-07   9.3557e-06  -2.1289e-07   6.0601e-10   6.0601e-10   6.5638e+12   6.5638e+12
  1.1433e+02   1.1604e+02   4.7501e+00   7.5410e-06   2.6916e-07   1.0639e-05  -2.0188e-07   5.0965e-10   5.0965e-10   9.2803e+12   9.2803e+12
  1.5634e+02   1.5917e+02   5.0662e+00   6.3250e-06   7.2449e-07   1.0134e-05  -2.0435e-07   3.9355e-10   3.9355e-10   1.5563e+13   1.5563e+13
  2.1379e+02   2.1746e+02   5.3782e+00   5.4037e-06   7.4377e-07   1.0364e-05  -1.8051e-07   3.0324e-10   3.0324e-10   2.6214e+13   2.6214e+13
