## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1929e-01  -2.1301e+00   6.6480e-06   5.2554e-08   5.8344e-06  -5.7232e-07   1.2664e-07   1.2664e-07   1.4237e+08   1.4237e+08
  1.5991e-01   1.6316e-01  -1.8170e+00   6.9987e-06  -1.7836e-07   6.1066e-06   3.0748e-07   9.2850e-08   9.2850e-08   2.6486e+08   2.6486e+08
  2.1867e-01   2.2306e-01  -1.5043e+00   7.3211e-06  -1.9509e-07   6.1291e-06  -1.1574e-07   6.8316e-08   6.8316e-08   4.8925e+08   4.8925e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   7.3894e-06   2.9717e-08   5.8373e-06   2.1472e-08   5.0171e-08   5.0171e-08   9.0713e+08   9.0713e+08
  4.0891e-01   4.1715e-01  -8.7817e-01   7.7878e-06   1.5537e-07   5.8154e-06  -8.6402e-08   3.6806e-08   3.6806e-08   1.6856e+09   1.6856e+09
  5.5917e-01   5.7036e-01  -5.6528e-01   7.8999e-06   3.2483e-08   5.8921e-06  -1.7042e-07   2.6993e-08   2.6993e-08   3.1339e+09   3.1339e+09
  7.6465e-01   7.7990e-01  -2.5234e-01   7.9817e-06  -1.7872e-08   5.7197e-06  -1.2165e-08   1.9816e-08   1.9816e-08   5.8150e+09   5.8150e+09
  1.0456e+00   1.0664e+00   6.0589e-02   8.0808e-06  -9.3162e-09   5.8589e-06   3.1867e-08   1.4551e-08   1.4551e-08   1.0784e+10   1.0784e+10
  1.4299e+00   1.4582e+00   3.7352e-01   8.0628e-06   6.5075e-08   5.8915e-06   2.2462e-08   1.0696e-08   1.0696e-08   1.9958e+10   1.9958e+10
  1.9553e+00   1.9941e+00   6.8646e-01   8.0091e-06   7.2886e-08   5.9613e-06  -7.8392e-09   7.8673e-09   7.8673e-09   3.6892e+10   3.6892e+10
  2.6738e+00   2.7269e+00   9.9944e-01   7.9108e-06   6.1762e-08   6.0274e-06  -2.0265e-08   5.7864e-09   5.7864e-09   6.8198e+10   6.8198e+10
  3.6564e+00   3.7288e+00   1.3124e+00   7.7340e-06   6.7117e-08   6.1346e-06  -1.2267e-08   4.2566e-09   4.2566e-09   1.2602e+11   1.2602e+11
  5.0000e+00   5.0987e+00   1.6253e+00   7.3604e-06   5.2351e-08   6.2692e-06  -1.9572e-08   3.1352e-09   3.1352e-09   2.3229e+11   2.3229e+11
  6.8373e+00   6.9716e+00   1.9381e+00   6.9215e-06   3.7496e-08   6.3969e-06  -4.5589e-08   2.3128e-09   2.3128e-09   4.2688e+11   4.2688e+11
  9.3499e+00   9.5366e+00   2.2514e+00   6.5367e-06   2.7515e-08   6.4145e-06  -3.7198e-08   1.7026e-09   1.7026e-09   7.8764e+11   7.8764e+11
  1.2786e+01   1.3031e+01   2.5636e+00   6.2431e-06   2.0478e-08   6.3399e-06  -3.3333e-08   1.2611e-09   1.2611e-09   1.4358e+12   1.4358e+12
  1.7484e+01   1.7818e+01   2.8765e+00   5.7177e-06   8.0085e-08   6.2495e-06  -2.6932e-08   9.4174e-10   9.4174e-10   2.5746e+12   2.5746e+12
  2.3909e+01   2.4345e+01   3.1886e+00   4.7027e-06   3.9058e-08   6.0765e-06  -1.9324e-08   7.0811e-10   7.0811e-10   4.5539e+12   4.5539e+12
  3.2695e+01   3.3268e+01   3.5008e+00   3.5596e-06   4.8642e-08   5.6924e-06   1.9018e-08   5.3959e-10   5.3959e-10   7.8423e+12   7.8423e+12
  4.4709e+01   4.5437e+01   3.8125e+00   2.5951e-06  -1.8150e-08   5.0949e-06   1.5722e-07   4.2003e-10   4.2003e-10   1.2942e+13   1.2942e+13
  6.1138e+01   6.2024e+01   4.1237e+00   2.4845e-06  -1.0292e-07   4.7520e-06   3.0298e-07   3.3721e-10   3.3721e-10   2.0081e+13   2.0081e+13
  8.3604e+01   8.4639e+01   4.4346e+00   3.4736e-06  -2.2613e-07   5.3088e-06   5.8097e-07   2.8148e-10   2.8148e-10   2.8819e+13   2.8819e+13
  1.1433e+02   1.1623e+02   4.7517e+00   3.6732e-06  -1.5553e-07   5.8599e-06   4.9690e-08   2.3344e-10   2.3344e-10   4.1901e+13   4.1901e+13
  1.5634e+02   1.5882e+02   5.0640e+00   1.9440e-06  -7.5369e-08   5.3802e-06  -3.2957e-07   1.8123e-10   1.8123e-10   6.9518e+13   6.9518e+13
  2.1379e+02   2.1684e+02   5.3753e+00   1.8715e-06  -2.3847e-07   5.5845e-06   4.5076e-08   1.4856e-10   1.4856e-10   1.0346e+14   1.0346e+14
