## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1938e-01  -2.1294e+00  -9.2079e-06   1.9366e-07   6.9579e-07   2.0869e-07   3.6748e-07   3.6748e-07   5.0076e+06   5.0076e+06
  1.5991e-01   1.6312e-01  -1.8173e+00  -1.5352e-05  -1.3357e-07   7.1399e-07  -4.4820e-07   2.6821e-07   2.6821e-07   9.4004e+06   9.4004e+06
  2.1867e-01   2.2305e-01  -1.5043e+00  -1.5841e-05  -9.4567e-08   4.9047e-07   4.7093e-07   1.9756e-07   1.9756e-07   1.7326e+07   1.7326e+07
  2.9903e-01   3.0501e-01  -1.1913e+00  -1.5877e-05  -1.2455e-08   7.3949e-07  -3.3956e-07   1.4551e-07   1.4551e-07   3.1936e+07   3.1936e+07
  4.0891e-01   4.1705e-01  -8.7835e-01  -1.5451e-05   8.3141e-08   6.9939e-07   1.3063e-07   1.0717e-07   1.0717e-07   5.8873e+07   5.8873e+07
  5.5917e-01   5.7015e-01  -5.6559e-01  -1.5336e-05  -2.7169e-08   7.2933e-07   2.1543e-07   7.8905e-08   7.8905e-08   1.0861e+08   1.0861e+08
  7.6465e-01   7.7952e-01  -2.5276e-01  -1.5195e-05   3.3284e-08   6.1396e-07  -8.2213e-08   5.8221e-08   5.8221e-08   1.9950e+08   1.9950e+08
  1.0456e+00   1.0658e+00   6.0129e-02  -1.4830e-05   3.7683e-08   6.4605e-07  -3.0453e-08   4.3082e-08   4.3082e-08   3.6434e+08   3.6434e+08
  1.4299e+00   1.4577e+00   3.7323e-01  -1.4413e-05   2.9323e-08   7.0946e-07   3.1203e-08   3.1867e-08   3.1867e-08   6.6592e+08   6.6592e+08
  1.9553e+00   1.9936e+00   6.8631e-01  -1.3949e-05   5.6237e-09   7.1308e-07   1.0660e-07   2.3521e-08   2.3521e-08   1.2223e+09   1.2223e+09
  2.6738e+00   2.7261e+00   9.9927e-01  -1.3521e-05   5.0698e-08   7.7717e-07   6.7672e-08   1.7357e-08   1.7357e-08   2.2447e+09   2.2447e+09
  3.6564e+00   3.7279e+00   1.3122e+00  -1.3155e-05   4.0479e-08   8.1821e-07   3.5443e-08   1.2818e-08   1.2818e-08   4.1157e+09   4.1157e+09
  5.0000e+00   5.0975e+00   1.6251e+00  -1.2841e-05   8.0589e-08   8.8777e-07   7.5547e-08   9.4751e-09   9.4751e-09   7.5323e+09   7.5323e+09
  6.8373e+00   6.9701e+00   1.9380e+00  -1.2365e-05   7.0316e-08   9.6559e-07   7.8054e-08   7.0182e-09   7.0182e-09   1.3729e+10   1.3729e+10
  9.3499e+00   9.5406e+00   2.2519e+00  -1.1544e-05   4.7914e-08   9.9194e-07   8.0132e-08   5.1655e-09   5.1655e-09   2.5344e+10   2.5344e+10
  1.2786e+01   1.3027e+01   2.5633e+00  -1.0317e-05  -1.3922e-07   9.3895e-07  -8.2543e-08   3.8363e-09   3.8363e-09   4.5947e+10   4.5947e+10
  1.7484e+01   1.7819e+01   2.8765e+00  -8.6618e-06  -2.2137e-07   8.6875e-07  -1.0312e-07   2.8787e-09   2.8787e-09   8.1603e+10   8.1603e+10
  2.3909e+01   2.4332e+01   3.1881e+00  -7.0225e-06  -4.4255e-07   8.1826e-07  -1.0570e-07   2.1763e-09   2.1763e-09   1.4278e+11   1.4278e+11
  3.2695e+01   3.3248e+01   3.5003e+00  -5.3521e-06  -6.3877e-07   6.3386e-07  -1.0301e-07   1.6725e-09   1.6725e-09   2.4176e+11   2.4176e+11
  4.4709e+01   4.5393e+01   3.8116e+00  -3.9726e-06  -8.3967e-07   3.7299e-07  -1.1287e-07   1.3210e-09   1.3210e-09   3.8754e+11   3.8754e+11
  6.1138e+01   6.1907e+01   4.1219e+00  -3.3566e-06  -9.1768e-07   6.2403e-08  -7.7225e-08   1.0904e-09   1.0904e-09   5.6872e+11   5.6872e+11
  8.3604e+01   8.4247e+01   4.4300e+00  -4.1508e-06  -1.5358e-06  -3.4862e-07   1.5214e-07   9.6801e-10   9.6801e-10   7.2166e+11   7.2166e+11
  1.1433e+02   1.1577e+02   4.7476e+00  -2.4150e-06  -8.6791e-07  -2.8317e-07   3.7083e-07   8.9205e-10   8.9205e-10   8.4980e+11   8.4980e+11
  1.5634e+02   1.5934e+02   5.0673e+00  -1.2442e-06  -2.4167e-07  -4.5993e-07   5.3046e-08   6.8421e-10   6.8421e-10   1.4445e+12   1.4445e+12
  2.1379e+02   2.1753e+02   5.3786e+00  -1.0003e-06  -2.1792e-07  -2.2102e-07   8.5269e-08   5.2151e-10   5.2151e-10   2.4864e+12   2.4864e+12
