## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1934e-01  -2.1298e+00   7.4033e-04   1.6031e-08   4.2840e-07   6.0123e-07   4.7906e-07   4.7906e-07   3.4118e+06   3.4118e+06
  1.5991e-01   1.6311e-01  -1.8173e+00   7.3430e-04  -6.1919e-07   2.5426e-07  -8.9516e-07   3.5058e-07   3.5058e-07   6.3709e+06   6.3709e+06
  2.1867e-01   2.2304e-01  -1.5043e+00   7.3351e-04  -3.5973e-07   2.7688e-07  -3.2712e-07   2.5828e-07   2.5828e-07   1.1737e+07   1.1737e+07
  2.9903e-01   3.0500e-01  -1.1913e+00   7.3245e-04   8.4678e-07   1.5759e-07  -1.7357e-07   1.9026e-07   1.9026e-07   2.1630e+07   2.1630e+07
  4.0891e-01   4.1704e-01  -8.7837e-01   7.3090e-04   2.6054e-07   3.3931e-07  -2.9781e-07   1.4011e-07   1.4011e-07   3.9883e+07   3.9883e+07
  5.5917e-01   5.7014e-01  -5.6559e-01   7.2599e-04   1.6403e-07   3.9913e-07  -7.4011e-08   1.0315e-07   1.0315e-07   7.3595e+07   7.3595e+07
  7.6465e-01   7.7950e-01  -2.5276e-01   7.2144e-04   1.6406e-07   4.9775e-07  -5.5443e-07   7.6119e-08   7.6119e-08   1.3514e+08   1.3514e+08
  1.0456e+00   1.0658e+00   6.0134e-02   7.1460e-04   4.3147e-07   6.2490e-07  -7.8139e-07   5.6328e-08   5.6328e-08   2.4678e+08   2.4678e+08
  1.4299e+00   1.4577e+00   3.7324e-01   7.0774e-04   1.0846e-06   8.2389e-07  -1.2507e-06   4.1666e-08   4.1666e-08   4.5103e+08   4.5103e+08
  1.9553e+00   1.9936e+00   6.8631e-01   7.0071e-04   1.1795e-06   1.2425e-06  -1.5076e-06   3.0757e-08   3.0757e-08   8.2768e+08   8.2768e+08
  2.6738e+00   2.7262e+00   9.9927e-01   6.9131e-04   1.2410e-06   1.7572e-06  -1.4647e-06   2.2697e-08   2.2697e-08   1.5199e+09   1.5199e+09
  3.6564e+00   3.7279e+00   1.3122e+00   6.7761e-04   1.1394e-06   2.5337e-06  -1.1970e-06   1.6763e-08   1.6763e-08   2.7863e+09   2.7863e+09
  5.0000e+00   5.0975e+00   1.6251e+00   6.5814e-04   1.2161e-06   3.5842e-06  -9.6237e-07   1.2393e-08   1.2393e-08   5.0982e+09   5.0982e+09
  6.8373e+00   6.9701e+00   1.9380e+00   6.3284e-04   1.5874e-06   4.7721e-06  -7.2613e-07   9.1800e-09   9.1800e-09   9.2913e+09   9.2913e+09
  9.3499e+00   9.5407e+00   2.2519e+00   6.0511e-04   3.1115e-06   5.8199e-06  -8.0204e-07   6.7568e-09   6.7568e-09   1.7151e+10   1.7151e+10
  1.2786e+01   1.3027e+01   2.5633e+00   5.6906e-04   3.6165e-06   6.0864e-06   1.2320e-06   5.0186e-09   5.0186e-09   3.1088e+10   3.1088e+10
  1.7484e+01   1.7819e+01   2.8765e+00   5.1462e-04   5.7314e-06   5.8753e-06   1.6870e-07   3.7665e-09   3.7665e-09   5.5193e+10   5.5193e+10
  2.3909e+01   2.4332e+01   3.1881e+00   4.4802e-04   8.3727e-06   5.4546e-06  -1.5210e-06   2.8482e-09   2.8482e-09   9.6524e+10   9.6524e+10
  3.2695e+01   3.3248e+01   3.5003e+00   3.7427e-04   1.5161e-05   5.6395e-06  -3.2088e-06   2.1895e-09   2.1895e-09   1.6333e+11   1.6333e+11
  4.4709e+01   4.5392e+01   3.8116e+00   3.0816e-04   2.1341e-05   6.4028e-06  -4.9760e-06   1.7298e-09   1.7298e-09   2.6167e+11   2.6167e+11
  6.1138e+01   6.1905e+01   4.1218e+00   2.6393e-04   2.3567e-05   7.4226e-06  -7.0733e-06   1.4286e-09   1.4286e-09   3.8363e+11   3.8363e+11
  8.3604e+01   8.4242e+01   4.4299e+00   2.3148e-04   3.7707e-05   1.9601e-05  -5.0955e-06   1.2693e-09   1.2693e-09   4.8598e+11   4.8598e+11
  1.1433e+02   1.1576e+02   4.7476e+00   8.0177e-05   2.4895e-05   2.0608e-05  -7.1834e-07   1.1719e-09   1.1719e-09   5.7012e+11   5.7012e+11
  1.5634e+02   1.5934e+02   5.0673e+00   3.5984e-05   1.7838e-05  -9.1649e-06   1.6622e-06   8.9942e-10   8.9942e-10   9.6792e+11   9.6792e+11
  2.1379e+02   2.1752e+02   5.3785e+00   4.8806e-05   7.5816e-07  -2.4221e-05  -1.3427e-07   6.8644e-10   6.8644e-10   1.6617e+12   1.6617e+12
