## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1915e-01  -2.1314e+00   1.2283e-05  -4.7150e-07  -4.6172e-07   8.0756e-07   4.7494e-07   4.7494e-07   2.3400e+06   2.3400e+06
  1.5991e-01   1.6288e-01  -1.8187e+00   1.0229e-05  -6.1955e-07   1.2636e-07  -1.1020e-06   3.4645e-07   3.4645e-07   4.3976e+06   4.3976e+06
  2.1867e-01   2.2273e-01  -1.5058e+00   8.5359e-06  -4.6480e-07   7.5027e-08   8.9392e-07   2.5164e-07   2.5164e-07   8.3355e+06   8.3355e+06
  2.9903e-01   3.0580e-01  -1.1888e+00   8.9437e-06  -4.0035e-07  -1.1445e-07  -1.7155e-07   1.8410e-07   1.8410e-07   1.5574e+07   1.5574e+07
  4.0891e-01   4.1672e-01  -8.7930e-01   9.2616e-06  -5.3089e-07   2.1202e-07   6.2649e-07   1.3534e-07   1.3534e-07   2.8815e+07   2.8815e+07
  5.5917e-01   5.7035e-01  -5.6540e-01   8.2743e-06   2.1974e-07  -1.9979e-10   1.1808e-07   9.9884e-08   9.9884e-08   5.2906e+07   5.2906e+07
  7.6465e-01   7.7905e-01  -2.5351e-01   7.9980e-06  -1.2314e-07   1.8400e-07  -2.0443e-07   7.3925e-08   7.3925e-08   9.6587e+07   9.6587e+07
  1.0456e+00   1.0658e+00   5.9981e-02   7.6400e-06  -2.2481e-07  -2.0824e-07   3.4290e-08   5.5043e-08   5.5043e-08   1.7422e+08   1.7422e+08
  1.4299e+00   1.4580e+00   3.7336e-01   7.1274e-06   2.0789e-07  -1.3445e-07  -5.5299e-08   4.0882e-08   4.0882e-08   3.1582e+08   3.1582e+08
  1.9553e+00   1.9937e+00   6.8631e-01   6.2685e-06  -1.0599e-08   1.4846e-07  -6.7682e-08   3.0218e-08   3.0218e-08   5.7807e+08   5.7807e+08
  2.6738e+00   2.7260e+00   9.9918e-01   5.6709e-06   2.4958e-08  -1.1719e-07  -1.9365e-08   2.2304e-08   2.2304e-08   1.0611e+09   1.0611e+09
  3.6564e+00   3.7274e+00   1.3120e+00   4.8481e-06   7.2473e-08  -3.6842e-08  -5.5096e-08   1.6519e-08   1.6519e-08   1.9344e+09   1.9344e+09
  5.0000e+00   5.0965e+00   1.6249e+00   4.2887e-06   1.2795e-07  -8.1318e-08   5.2765e-08   1.2250e-08   1.2250e-08   3.5174e+09   3.5174e+09
  6.8373e+00   6.9697e+00   1.9379e+00   4.2153e-06   1.5199e-07  -4.0887e-08   1.7750e-08   9.0947e-09   9.0947e-09   6.3815e+09   6.3815e+09
  9.3499e+00   9.5425e+00   2.2521e+00   4.3097e-06   8.2468e-08  -8.6195e-08   8.3194e-09   6.7054e-09   6.7054e-09   1.1740e+10   1.1740e+10
  1.2786e+01   1.3024e+01   2.5631e+00   4.2117e-06   5.5584e-08  -1.1019e-07   4.0436e-08   4.9939e-09   4.9939e-09   2.1165e+10   2.1165e+10
  1.7484e+01   1.7817e+01   2.8764e+00   4.0081e-06   6.8770e-09  -8.0876e-08   4.0590e-08   3.7652e-09   3.7652e-09   3.7232e+10   3.7232e+10
  2.3909e+01   2.4321e+01   3.1876e+00   3.8383e-06   2.3359e-08  -3.1131e-08   3.9927e-08   2.8595e-09   2.8595e-09   6.4553e+10   6.4553e+10
  3.2695e+01   3.3236e+01   3.4999e+00   3.5965e-06   1.9143e-08   7.8692e-08   6.8007e-09   2.2099e-09   2.2099e-09   1.0808e+11   1.0808e+11
  4.4709e+01   4.5370e+01   3.8111e+00   3.3353e-06   4.4946e-08   2.6034e-07   2.4420e-08   1.7579e-09   1.7579e-09   1.7082e+11   1.7082e+11
  6.1138e+01   6.1855e+01   4.1210e+00   2.9727e-06   2.8715e-08   5.8230e-07  -1.0440e-08   1.4696e-09   1.4696e-09   2.4441e+11   2.4441e+11
  8.3604e+01   8.4117e+01   4.4284e+00   2.7104e-06   1.8393e-08   7.8318e-07  -4.6640e-08   1.3332e-09   1.3332e-09   2.9696e+11   2.9696e+11
  1.1433e+02   1.1581e+02   4.7480e+00   3.1429e-06  -6.0448e-07   5.4288e-07  -1.2191e-07   1.2532e-09   1.2532e-09   3.3609e+11   3.3609e+11
  1.5634e+02   1.5816e+02   5.0598e+00   2.9873e-06  -8.3942e-07   3.8353e-07  -2.7458e-07   1.0136e-09   1.0136e-09   5.1375e+11   5.1375e+11
  2.1379e+02   2.1436e+02   5.3638e+00   1.7192e-06  -1.6970e-07   2.5288e-07  -2.1205e-07   9.7137e-10   9.7137e-10   5.5941e+11   5.5941e+11
